id,name,number,address,latitude,longitude,total_bases
1,Puerta del Sol A,1a,Puerta del Sol nº 1,40.4172137,-3.7018341,30
2,Puerta del Sol B,1b,Puerta del Sol nº 1,40.41731271011562,-3.701602938060457,30
3,Miguel Moya,2,Calle Miguel Moya nº 1,40.4205886,-3.7058415,24
4,Plaza Conde Suchil,3,Plaza del Conde del Valle de Súchil nº 3,40.4302937,-3.7069171,18
5,Malasaña,4,Calle Manuela Malasaña nº 5,40.4285524,-3.7025875,24
6,Fuencarral,5,Calle Fuencarral nº 108,40.42852,-3.70205,27
7,Colegio Arquitectos,6,Calle Hortaleza nº 63,40.4241480,-3.6984470,24
8,Hortaleza,7,Calle Hortaleza nº 75,40.4251906,-3.6977715,21
9,Alonso Martínez,8,Plaza de Alonso Martínez nº 5,40.4278682,-3.6954403,24
10,Plaza de San Miguel,9,Plaza de San Miguel nº 9,40.4156057,-3.7095084,24
11,Marqués de la Ensenada,10,Calle Marqués de la Ensenada nº 16,40.42533,-3.69214,24
12,San Andrés,11,Calle San Andrés nº 18,40.4269483,-3.7035918,24
13,San Hermenegildo,12,Calle San Bernardo nº 85,40.4284246,-3.7061931,24
14,Conde Duque,13,Calle Conde Duque nº 22,40.4273264,-3.7104417,24
15,Ventura Rodríguez,14,Calle Duque de Liria,40.4260957,-3.7134790,24
16,San Vicente Ferrer,15,Calle San Vicente Ferrer nº 64,40.4262383,-3.7074453,21
17,San Bernardo,16,Calle San Bernardo nº 22,40.4230721,-3.7075065,21
18,Carlos Cambronero,17,Plaza de Carlos Cambronero nº 2,40.4232649,-3.7038312,24
19,Plaza de Pedro Zerolo,18,Plaza de Pedro Zerolo nº 1,40.4207773,-3.6996502,24
20,Prim,19,Calle Prim nº 2,40.4218616,-3.6954983,24
21,Banco de España A,20a,Calle Alcalá nº 49,40.4192342,-3.6954615,30
25,Jacometrezo,22,Calle Jacometrezo nº 3,40.4200783,-3.7065376,24
26,Santo Domingo,23,Plaza de Santo Domingo nº 1,40.4202834,-3.7081246,24
27,Palacio de Oriente,24,Calle Carlos III nº 1,40.417908,-3.710692,24
28,Plaza de Celenque A,25a,Plaza de Celenque nº 1,40.4173703,-3.7057791,24
29,Plaza de Celenque B,25b,Plaza de Celenque nº 1,40.4172781,-3.7063837,24
30,Plaza de las Salesas,26,Plaza de las Salesas 7,40.423855,-3.694475,24
31,Huertas,27,Calle Jesús nº 1,40.4132798,-3.6956178,24
32,Sevilla,28,Calle Alcalá nº 27,40.4181518,-3.6984368,24
33,Marqués de Cubas,29,Calle del Marqués de Cubas nº 25,40.4162619,-3.6957355,24
34,San Quintín,30,Calle Pavía nº 6,40.4192095,-3.7115040,27
35,Calle Mayor,31,Calle Mayor nº 20,40.4163638,-3.7068969,27
36,Plaza de la Provincia,32,Plaza de la Provincia nº 1,40.4150099,-3.7061032,18
37,Carretas,33,Calle Carretas nº 8,40.4165039,-3.7030833,21
38,Jacinto Benavente,34,Plaza de Jacinto Benavente,40.4146755,-3.7036825,24
39,Plaza del Cordón,35,Plaza del Cordón,40.4141931,-3.7103285,24
40,Plaza Ramales,36,Plaza de Ramales,40.4168,-3.71183,24
41,Plaza de San Francisco,37,Plaza de San Francisco nº 5,40.4108,-3.714113,24
42,Plaza de los Carros,38,Carrera de San Francisco nº 1,40.4114041,-3.7114762,24
43,Plaza de la Cebada,39,Plaza de la Cebada nº 16 ,40.4112744,-3.7088337,27
44,Conde de Romanones,40,Plaza del Conde de Romanones nº 9,40.4138846,-3.7049407,24
45,Antón Martín,41,Calle Atocha nº 54,40.4122047,-3.6991147,18
46,Santa Isabel,42,Calle Atocha nº 95,40.4107085,-3.6982318,24
47,Jesús y María,43,Calle Lavapiés nº 34,40.4101564,-3.7025024,24
